Image,Classification
25695.jpg,Eliptical
69188.jpg,Eliptical
215551.jpg,Eliptical
40266.jpg,Eliptical
197481.jpg,Barred Spiral
50609.jpg,Barred Spiral
61770.jpg,Eliptical
157964.jpg,Eliptical
46928.jpg,Eliptical
98303.jpg,Barred Spiral
74258.jpg,Barred Spiral
46094.jpg,Eliptical
169602.jpg,Eliptical
66422.jpg,Barred Spiral
131820.jpg,Eliptical
116079.jpg,Barred Spiral
65426.jpg,Barred Spiral
26081.jpg,Eliptical
12268.jpg,Eliptical
215594.jpg,Barred Spiral
69457.jpg,Spiral
88396.jpg,Barred Spiral
232663.jpg,Barred Spiral
138025.jpg,Spiral
221464.jpg,Eliptical
185172.jpg,Barred Spiral
94352.jpg,Barred Spiral
212692.jpg,Eliptical
4780.jpg,Barred Spiral
230837.jpg,Spiral
54820.jpg,Eliptical
208319.jpg,Eliptical
76678.jpg,Barred Spiral
239460.jpg,Spiral
70282.jpg,Barred Spiral
86898.jpg,Barred Spiral
83169.jpg,Barred Spiral
49686.jpg,Eliptical
216388.jpg,Spiral
95146.jpg,Barred Spiral
68580.jpg,Eliptical
1606.jpg,Barred Spiral
217012.jpg,Barred Spiral
8961.jpg,Eliptical
127723.jpg,Barred Spiral
105349.jpg,Spiral
195833.jpg,Spiral
50166.jpg,Eliptical
193159.jpg,Spiral
152433.jpg,Eliptical
69925.jpg,Spiral
176031.jpg,Eliptical
101532.jpg,Eliptical
176088.jpg,Barred Spiral
237606.jpg,Eliptical
151040.jpg,Eliptical
232875.jpg,Spiral
72940.jpg,Barred Spiral
68393.jpg,Spiral
211404.jpg,Barred Spiral
212617.jpg,Eliptical
201620.jpg,Barred Spiral
23099.jpg,Barred Spiral
188448.jpg,Spiral
59746.jpg,Barred Spiral
231806.jpg,Eliptical
94350.jpg,Barred Spiral
187353.jpg,Barred Spiral
25208.jpg,Barred Spiral
173583.jpg,Eliptical
26459.jpg,Eliptical
56984.jpg,Eliptical
66445.jpg,Barred Spiral
24722.jpg,Eliptical
218607.jpg,Eliptical
97067.jpg,Barred Spiral
185918.jpg,Eliptical
123974.jpg,Barred Spiral
156782.jpg,Eliptical
154511.jpg,Barred Spiral
103614.jpg,Barred Spiral
74486.jpg,Barred Spiral
111104.jpg,Eliptical
177855.jpg,Barred Spiral
113736.jpg,Spiral
245169.jpg,Eliptical
61620.jpg,Eliptical
104073.jpg,Eliptical
26252.jpg,Spiral
177650.jpg,Eliptical
212688.jpg,Barred Spiral
119957.jpg,Eliptical
34243.jpg,Eliptical
199027.jpg,Barred Spiral
103590.jpg,Spiral
16836.jpg,Eliptical
118540.jpg,Spiral
204596.jpg,Barred Spiral
175440.jpg,Barred Spiral
239104.jpg,Spiral
154203.jpg,Barred Spiral
38549.jpg,Spiral
48061.jpg,Eliptical
1408.jpg,Spiral
61869.jpg,Eliptical
30902.jpg,Eliptical
135236.jpg,Eliptical
183996.jpg,Eliptical
204324.jpg,Barred Spiral
94647.jpg,Eliptical
160757.jpg,Barred Spiral
9765.jpg,Barred Spiral
169211.jpg,Eliptical
124120.jpg,Barred Spiral
41781.jpg,Eliptical
90229.jpg,Barred Spiral
14466.jpg,Eliptical
76208.jpg,Eliptical
61634.jpg,Barred Spiral
22870.jpg,Eliptical
26674.jpg,Barred Spiral
75268.jpg,Eliptical
100183.jpg,Barred Spiral
106037.jpg,Barred Spiral
244729.jpg,Spiral
14859.jpg,Eliptical
60486.jpg,Eliptical
58560.jpg,Eliptical
231744.jpg,Barred Spiral
60996.jpg,Spiral
233956.jpg,Barred Spiral
31564.jpg,Barred Spiral
87601.jpg,Spiral
16751.jpg,Barred Spiral
13686.jpg,Eliptical
123609.jpg,Eliptical
109631.jpg,Eliptical
4935.jpg,Spiral
158577.jpg,Eliptical
181421.jpg,Barred Spiral
164114.jpg,Eliptical
78034.jpg,Eliptical
188996.jpg,Eliptical
150659.jpg,Eliptical
59671.jpg,Barred Spiral
159240.jpg,Spiral
157881.jpg,Spiral
196823.jpg,Barred Spiral
59042.jpg,Eliptical
60031.jpg,Eliptical
212187.jpg,Eliptical
13963.jpg,Eliptical
211061.jpg,Barred Spiral
3750.jpg,Barred Spiral
235607.jpg,Barred Spiral
136363.jpg,Eliptical
60484.jpg,Barred Spiral
134748.jpg,Eliptical
90166.jpg,Barred Spiral
114006.jpg,Barred Spiral
109775.jpg,Barred Spiral
156991.jpg,Barred Spiral
156298.jpg,Spiral
30302.jpg,Eliptical
35335.jpg,Barred Spiral
151754.jpg,Spiral
220442.jpg,Eliptical
30557.jpg,Barred Spiral
160751.jpg,Eliptical
191392.jpg,Spiral
182163.jpg,Eliptical
222718.jpg,Eliptical
173153.jpg,Barred Spiral
99581.jpg,Eliptical
5091.jpg,Spiral
96129.jpg,Eliptical
25982.jpg,Barred Spiral
223413.jpg,Barred Spiral
242641.jpg,Barred Spiral
141701.jpg,Barred Spiral
54529.jpg,Barred Spiral
117014.jpg,Eliptical
128918.jpg,Eliptical
180767.jpg,Barred Spiral
199887.jpg,Eliptical
158445.jpg,Eliptical
128257.jpg,Spiral
231402.jpg,Eliptical
46371.jpg,Spiral
243277.jpg,Spiral
135090.jpg,Eliptical
40631.jpg,Barred Spiral
217385.jpg,Eliptical
238327.jpg,Barred Spiral
80845.jpg,Eliptical
165767.jpg,Barred Spiral
30269.jpg,Eliptical
43627.jpg,Eliptical
99346.jpg,Eliptical
191440.jpg,Barred Spiral
108382.jpg,Barred Spiral
193455.jpg,Eliptical
200222.jpg,Barred Spiral
163562.jpg,Eliptical
48870.jpg,Eliptical
82636.jpg,Barred Spiral
204942.jpg,Barred Spiral
166443.jpg,Eliptical
169253.jpg,Eliptical
25128.jpg,Spiral
222106.jpg,Barred Spiral
11026.jpg,Spiral
78504.jpg,Barred Spiral
226921.jpg,Barred Spiral
193755.jpg,Spiral
12227.jpg,Spiral
63842.jpg,Eliptical
220324.jpg,Barred Spiral
238044.jpg,Spiral
17628.jpg,Barred Spiral
119876.jpg,Eliptical
101811.jpg,Spiral
24794.jpg,Eliptical
121464.jpg,Eliptical
235195.jpg,Eliptical
51325.jpg,Barred Spiral
21363.jpg,Eliptical
244208.jpg,Barred Spiral
77597.jpg,Spiral
158296.jpg,Barred Spiral
32225.jpg,Spiral
7903.jpg,Eliptical
148689.jpg,Spiral
217090.jpg,Barred Spiral
195161.jpg,Eliptical
129208.jpg,Eliptical
241303.jpg,Spiral
69803.jpg,Eliptical
32919.jpg,Eliptical
198585.jpg,Spiral
26628.jpg,Barred Spiral
178920.jpg,Barred Spiral
55385.jpg,Spiral
56556.jpg,Eliptical
123547.jpg,Barred Spiral
244649.jpg,Spiral
136364.jpg,Eliptical
7991.jpg,Eliptical
142313.jpg,Eliptical
108353.jpg,Spiral
176077.jpg,Eliptical
236430.jpg,Spiral
212854.jpg,Barred Spiral
233050.jpg,Eliptical
158360.jpg,Eliptical
230348.jpg,Barred Spiral
196317.jpg,Barred Spiral
182422.jpg,Eliptical
159358.jpg,Eliptical
59095.jpg,Eliptical
154238.jpg,Barred Spiral
165315.jpg,Barred Spiral
169320.jpg,Spiral
26541.jpg,Barred Spiral
55242.jpg,Spiral
156724.jpg,Eliptical
140700.jpg,Eliptical
77826.jpg,Barred Spiral
49016.jpg,Barred Spiral
168626.jpg,Barred Spiral
212746.jpg,Barred Spiral
35706.jpg,Spiral
175201.jpg,Barred Spiral
211893.jpg,Eliptical
13210.jpg,Eliptical
10088.jpg,Barred Spiral
167281.jpg,Eliptical
28718.jpg,Barred Spiral
101997.jpg,Barred Spiral
198237.jpg,Eliptical
184398.jpg,Barred Spiral
224507.jpg,Eliptical
160154.jpg,Barred Spiral
46988.jpg,Barred Spiral
183951.jpg,Barred Spiral
204733.jpg,Barred Spiral
18828.jpg,Eliptical
119475.jpg,Barred Spiral
24787.jpg,Barred Spiral
237627.jpg,Eliptical
59085.jpg,Eliptical
180103.jpg,Eliptical
232976.jpg,Barred Spiral
89653.jpg,Spiral
110045.jpg,Barred Spiral
52515.jpg,Barred Spiral
219658.jpg,Barred Spiral
8099.jpg,Eliptical
98182.jpg,Eliptical
162153.jpg,Eliptical
206584.jpg,Spiral
102938.jpg,Eliptical
160106.jpg,Spiral
84681.jpg,Eliptical
113038.jpg,Eliptical
130702.jpg,Barred Spiral
88448.jpg,Eliptical
156042.jpg,Eliptical
128178.jpg,Barred Spiral
87796.jpg,Barred Spiral
58243.jpg,Eliptical
158317.jpg,Eliptical
213835.jpg,Spiral
59308.jpg,Spiral
216938.jpg,Spiral
17169.jpg,Spiral
64687.jpg,Eliptical
192026.jpg,Barred Spiral
82904.jpg,Barred Spiral
155775.jpg,Barred Spiral
86970.jpg,Eliptical
167692.jpg,Barred Spiral
1641.jpg,Eliptical
26631.jpg,Spiral
176321.jpg,Spiral
91415.jpg,Barred Spiral
43813.jpg,Eliptical
154346.jpg,Barred Spiral
220732.jpg,Eliptical
140136.jpg,Eliptical
192358.jpg,Barred Spiral
241692.jpg,Eliptical
63261.jpg,Eliptical
98579.jpg,Barred Spiral
10683.jpg,Barred Spiral
200986.jpg,Barred Spiral
41379.jpg,Eliptical
193375.jpg,Eliptical
234400.jpg,Eliptical
67456.jpg,Eliptical
88209.jpg,Barred Spiral
164826.jpg,Spiral
143566.jpg,Barred Spiral
26183.jpg,Spiral
70286.jpg,Barred Spiral
182174.jpg,Spiral
223449.jpg,Spiral
240188.jpg,Barred Spiral
95770.jpg,Eliptical
214762.jpg,Barred Spiral
68197.jpg,Barred Spiral
34257.jpg,Eliptical
155129.jpg,Barred Spiral
185771.jpg,Barred Spiral
130306.jpg,Barred Spiral
106792.jpg,Barred Spiral
102066.jpg,Eliptical
165644.jpg,Barred Spiral
166410.jpg,Eliptical
15426.jpg,Eliptical
162529.jpg,Eliptical
109262.jpg,Barred Spiral
152658.jpg,Spiral
89576.jpg,Eliptical
162468.jpg,Barred Spiral
153567.jpg,Barred Spiral
37072.jpg,Eliptical
75553.jpg,Eliptical
216873.jpg,Spiral
178619.jpg,Eliptical
162578.jpg,Eliptical
93775.jpg,Barred Spiral
185420.jpg,Spiral
237643.jpg,Barred Spiral
155872.jpg,Barred Spiral
213704.jpg,Eliptical
49191.jpg,Eliptical
13155.jpg,Barred Spiral
120185.jpg,Spiral
175715.jpg,Spiral
62750.jpg,Eliptical
36420.jpg,Barred Spiral
126627.jpg,Eliptical
214902.jpg,Barred Spiral
206767.jpg,Eliptical
80965.jpg,Eliptical
178657.jpg,Eliptical
225472.jpg,Spiral
23575.jpg,Eliptical
73560.jpg,Eliptical
49493.jpg,Barred Spiral
224559.jpg,Spiral
179821.jpg,Eliptical
241328.jpg,Eliptical
232794.jpg,Spiral
124837.jpg,Eliptical
161498.jpg,Barred Spiral
126223.jpg,Spiral
151892.jpg,Eliptical
3945.jpg,Barred Spiral
20865.jpg,Barred Spiral
64415.jpg,Eliptical
181979.jpg,Eliptical
116093.jpg,Barred Spiral
150868.jpg,Barred Spiral
164125.jpg,Eliptical
150375.jpg,Barred Spiral
7870.jpg,Barred Spiral
182013.jpg,Barred Spiral
44948.jpg,Barred Spiral
62528.jpg,Barred Spiral
191639.jpg,Eliptical
162452.jpg,Eliptical
30243.jpg,Eliptical
116989.jpg,Spiral
152514.jpg,Eliptical
40919.jpg,Barred Spiral
121272.jpg,Eliptical
131358.jpg,Spiral
163506.jpg,Eliptical
199892.jpg,Barred Spiral
112051.jpg,Spiral
9709.jpg,Eliptical
242406.jpg,Barred Spiral
62176.jpg,Spiral
7971.jpg,Eliptical
91857.jpg,Eliptical
210950.jpg,Spiral
21025.jpg,Spiral
83703.jpg,Eliptical
217816.jpg,Eliptical
190878.jpg,Eliptical
93471.jpg,Barred Spiral
20643.jpg,Barred Spiral
56700.jpg,Barred Spiral
16408.jpg,Eliptical
25507.jpg,Barred Spiral
61465.jpg,Eliptical
170935.jpg,Eliptical
58946.jpg,Barred Spiral
54346.jpg,Eliptical
205367.jpg,Barred Spiral
199716.jpg,Eliptical
8305.jpg,Barred Spiral
86871.jpg,Eliptical
237895.jpg,Barred Spiral
32316.jpg,Barred Spiral
167834.jpg,Eliptical
88487.jpg,Eliptical
170396.jpg,Barred Spiral
230755.jpg,Barred Spiral
72114.jpg,Eliptical
10487.jpg,Eliptical
82288.jpg,Barred Spiral
131977.jpg,Spiral
205129.jpg,Eliptical
229723.jpg,Eliptical
77487.jpg,Eliptical
228736.jpg,Spiral
193290.jpg,Eliptical
50421.jpg,Eliptical
102745.jpg,Eliptical
56598.jpg,Eliptical
213619.jpg,Barred Spiral
165490.jpg,Eliptical
180101.jpg,Barred Spiral
60215.jpg,Spiral
110770.jpg,Eliptical
210846.jpg,Eliptical
173810.jpg,Eliptical
222516.jpg,Eliptical
15746.jpg,Eliptical
40038.jpg,Eliptical
31159.jpg,Spiral
79400.jpg,Spiral
114540.jpg,Eliptical
178717.jpg,Spiral
19738.jpg,Eliptical
227487.jpg,Barred Spiral
74051.jpg,Eliptical
54291.jpg,Eliptical
64088.jpg,Eliptical
114782.jpg,Spiral
245271.jpg,Eliptical
52737.jpg,Barred Spiral
241776.jpg,Barred Spiral
59377.jpg,Barred Spiral
24807.jpg,Eliptical
61018.jpg,Eliptical
160673.jpg,Barred Spiral
811.jpg,Barred Spiral
166510.jpg,Barred Spiral
73287.jpg,Eliptical
203647.jpg,Eliptical
154829.jpg,Barred Spiral
137851.jpg,Barred Spiral
116310.jpg,Eliptical
51462.jpg,Spiral
117829.jpg,Barred Spiral
198316.jpg,Barred Spiral
82862.jpg,Eliptical
193581.jpg,Barred Spiral
99473.jpg,Barred Spiral
243140.jpg,Barred Spiral
47954.jpg,Spiral
91596.jpg,Eliptical
128674.jpg,Barred Spiral
233457.jpg,Barred Spiral
244016.jpg,Eliptical
222546.jpg,Eliptical
15632.jpg,Eliptical
225577.jpg,Spiral
22958.jpg,Barred Spiral
217177.jpg,Eliptical
159274.jpg,Spiral
68333.jpg,Eliptical
204545.jpg,Barred Spiral
34148.jpg,Eliptical
189380.jpg,Barred Spiral
59942.jpg,Eliptical
178948.jpg,Barred Spiral
208698.jpg,Barred Spiral
111161.jpg,Eliptical
83363.jpg,Eliptical
200929.jpg,Barred Spiral
181352.jpg,Barred Spiral
160440.jpg,Barred Spiral
37430.jpg,Barred Spiral
142250.jpg,Eliptical
191625.jpg,Spiral
239377.jpg,Eliptical
57636.jpg,Barred Spiral
131954.jpg,Barred Spiral
82533.jpg,Barred Spiral
231306.jpg,Spiral
161009.jpg,Barred Spiral
79889.jpg,Barred Spiral
15116.jpg,Eliptical
230370.jpg,Eliptical
174322.jpg,Barred Spiral
69112.jpg,Barred Spiral
115983.jpg,Eliptical
203992.jpg,Barred Spiral
112839.jpg,Barred Spiral
126050.jpg,Spiral
87331.jpg,Barred Spiral
155490.jpg,Eliptical
23797.jpg,Barred Spiral
228257.jpg,Eliptical
214850.jpg,Barred Spiral
196606.jpg,Spiral
59480.jpg,Barred Spiral
10504.jpg,Barred Spiral
21601.jpg,Spiral
85645.jpg,Barred Spiral
240435.jpg,Barred Spiral
97623.jpg,Barred Spiral
170639.jpg,Eliptical
119968.jpg,Spiral
173647.jpg,Eliptical
194650.jpg,Barred Spiral
18498.jpg,Eliptical
81476.jpg,Eliptical
40565.jpg,Spiral
237935.jpg,Eliptical
226176.jpg,Eliptical
181645.jpg,Barred Spiral
143465.jpg,Eliptical
47150.jpg,Barred Spiral
61922.jpg,Barred Spiral
238613.jpg,Barred Spiral
239218.jpg,Eliptical
136375.jpg,Barred Spiral
81950.jpg,Eliptical
74607.jpg,Barred Spiral
201649.jpg,Spiral
221296.jpg,Eliptical
170732.jpg,Spiral
171507.jpg,Barred Spiral
152901.jpg,Eliptical
102410.jpg,Eliptical
166521.jpg,Barred Spiral
94365.jpg,Spiral
177592.jpg,Spiral
122021.jpg,Eliptical
188842.jpg,Eliptical
32774.jpg,Eliptical
126034.jpg,Barred Spiral
58502.jpg,Eliptical
139209.jpg,Spiral
46491.jpg,Spiral
99310.jpg,Barred Spiral
1708.jpg,Barred Spiral
208500.jpg,Eliptical
230110.jpg,Eliptical
193445.jpg,Eliptical
126960.jpg,Barred Spiral
244539.jpg,Eliptical
204719.jpg,Eliptical
121318.jpg,Eliptical
163883.jpg,Barred Spiral
194041.jpg,Eliptical
46503.jpg,Spiral
223953.jpg,Eliptical
54412.jpg,Barred Spiral
64364.jpg,Barred Spiral
136244.jpg,Eliptical
71239.jpg,Spiral
53930.jpg,Eliptical
7333.jpg,Eliptical
233344.jpg,Barred Spiral
195980.jpg,Barred Spiral
79381.jpg,Barred Spiral
145462.jpg,Barred Spiral
154861.jpg,Spiral
14540.jpg,Eliptical
23275.jpg,Barred Spiral
117995.jpg,Eliptical
93037.jpg,Eliptical
97723.jpg,Barred Spiral
75951.jpg,Spiral
144849.jpg,Eliptical
68649.jpg,Eliptical
47122.jpg,Barred Spiral
100384.jpg,Spiral
63490.jpg,Eliptical
194774.jpg,Barred Spiral
181213.jpg,Barred Spiral
92056.jpg,Barred Spiral
25637.jpg,Barred Spiral
205909.jpg,Eliptical
37172.jpg,Barred Spiral
162886.jpg,Eliptical
192919.jpg,Spiral
84332.jpg,Barred Spiral
70185.jpg,Barred Spiral
132870.jpg,Eliptical
1711.jpg,Eliptical
195059.jpg,Eliptical
160455.jpg,Barred Spiral
8154.jpg,Barred Spiral
162251.jpg,Barred Spiral
34718.jpg,Barred Spiral
233365.jpg,Eliptical
95149.jpg,Eliptical
95064.jpg,Barred Spiral
34392.jpg,Spiral
227158.jpg,Barred Spiral
79249.jpg,Eliptical
108510.jpg,Eliptical
211527.jpg,Eliptical
2263.jpg,Eliptical
107439.jpg,Eliptical
213504.jpg,Barred Spiral
45929.jpg,Eliptical
181200.jpg,Eliptical
222020.jpg,Spiral
24320.jpg,Spiral
90311.jpg,Eliptical
245444.jpg,Barred Spiral
155010.jpg,Barred Spiral
9472.jpg,Barred Spiral
148254.jpg,Barred Spiral
228004.jpg,Eliptical
170849.jpg,Barred Spiral
207134.jpg,Spiral
121001.jpg,Spiral
98550.jpg,Barred Spiral
92609.jpg,Eliptical
107119.jpg,Eliptical
189251.jpg,Eliptical
113558.jpg,Spiral
26666.jpg,Eliptical
228363.jpg,Spiral
213691.jpg,Eliptical
91280.jpg,Spiral
1329.jpg,Spiral
243006.jpg,Barred Spiral
227433.jpg,Spiral
32629.jpg,Spiral
24710.jpg,Eliptical
218969.jpg,Spiral
26903.jpg,Barred Spiral
220741.jpg,Barred Spiral
130279.jpg,Eliptical
131939.jpg,Barred Spiral
227763.jpg,Barred Spiral
134680.jpg,Barred Spiral
127782.jpg,Spiral
97383.jpg,Barred Spiral
144846.jpg,Barred Spiral
177608.jpg,Eliptical
155394.jpg,Eliptical
125757.jpg,Barred Spiral
233899.jpg,Spiral
182334.jpg,Barred Spiral
141162.jpg,Eliptical
65334.jpg,Eliptical
200416.jpg,Barred Spiral
93034.jpg,Eliptical
74789.jpg,Barred Spiral
130073.jpg,Eliptical
63560.jpg,Eliptical
82454.jpg,Eliptical
194432.jpg,Spiral
88677.jpg,Eliptical
166016.jpg,Spiral
208936.jpg,Spiral
32481.jpg,Eliptical
17178.jpg,Barred Spiral
238162.jpg,Barred Spiral
230885.jpg,Eliptical
114216.jpg,Barred Spiral
183468.jpg,Eliptical
102337.jpg,Spiral
40885.jpg,Eliptical
136122.jpg,Spiral
138959.jpg,Barred Spiral
22102.jpg,Barred Spiral
15143.jpg,Eliptical
95655.jpg,Barred Spiral
89170.jpg,Eliptical
58014.jpg,Barred Spiral
211251.jpg,Eliptical
131272.jpg,Spiral
232521.jpg,Eliptical
157217.jpg,Eliptical
96788.jpg,Barred Spiral
182352.jpg,Eliptical
161102.jpg,Barred Spiral
10073.jpg,Spiral
171138.jpg,Eliptical
136014.jpg,Eliptical
217119.jpg,Barred Spiral
234451.jpg,Eliptical
171084.jpg,Barred Spiral
127247.jpg,Eliptical
127171.jpg,Eliptical
3458.jpg,Eliptical
98384.jpg,Eliptical
164021.jpg,Eliptical
181927.jpg,Barred Spiral
192263.jpg,Spiral
14090.jpg,Eliptical
75370.jpg,Eliptical
245486.jpg,Eliptical
163992.jpg,Barred Spiral
201937.jpg,Barred Spiral
46012.jpg,Spiral
91342.jpg,Barred Spiral
183553.jpg,Spiral
211741.jpg,Barred Spiral
132307.jpg,Barred Spiral
240098.jpg,Barred Spiral
139840.jpg,Eliptical
238491.jpg,Barred Spiral
170842.jpg,Eliptical
102388.jpg,Spiral
59709.jpg,Eliptical
77205.jpg,Spiral
48524.jpg,Barred Spiral
49437.jpg,Eliptical
71545.jpg,Eliptical
204423.jpg,Barred Spiral
228273.jpg,Eliptical
84622.jpg,Spiral
184381.jpg,Spiral
15974.jpg,Spiral
59234.jpg,Eliptical
186341.jpg,Eliptical
219513.jpg,Eliptical
197147.jpg,Eliptical
217520.jpg,Spiral
25332.jpg,Eliptical
181814.jpg,Barred Spiral
62788.jpg,Barred Spiral
205205.jpg,Barred Spiral
166540.jpg,Eliptical
139608.jpg,Barred Spiral
77235.jpg,Eliptical
95365.jpg,Barred Spiral
99525.jpg,Eliptical
239751.jpg,Eliptical
101617.jpg,Eliptical
59772.jpg,Eliptical
100505.jpg,Spiral
13140.jpg,Barred Spiral
95375.jpg,Spiral
155048.jpg,Eliptical
69646.jpg,Spiral
40479.jpg,Eliptical
32871.jpg,Eliptical
122950.jpg,Barred Spiral
200455.jpg,Barred Spiral
95197.jpg,Barred Spiral
69815.jpg,Eliptical
95646.jpg,Eliptical
97305.jpg,Eliptical
23736.jpg,Eliptical
177843.jpg,Spiral
63140.jpg,Spiral
241880.jpg,Eliptical
38057.jpg,Eliptical
176659.jpg,Barred Spiral
162140.jpg,Spiral
161874.jpg,Barred Spiral
92200.jpg,Eliptical
2001.jpg,Eliptical
12466.jpg,Barred Spiral
229778.jpg,Barred Spiral
211175.jpg,Barred Spiral
155836.jpg,Barred Spiral
217557.jpg,Spiral
211614.jpg,Eliptical
77122.jpg,Barred Spiral
80806.jpg,Eliptical
125677.jpg,Eliptical
24590.jpg,Barred Spiral
108410.jpg,Barred Spiral
48537.jpg,Eliptical
18407.jpg,Barred Spiral
126409.jpg,Barred Spiral
244646.jpg,Barred Spiral
176418.jpg,Eliptical
167154.jpg,Eliptical
84879.jpg,Barred Spiral
245342.jpg,Eliptical
174266.jpg,Barred Spiral
203175.jpg,Eliptical
37247.jpg,Barred Spiral
158206.jpg,Eliptical
4987.jpg,Barred Spiral
66060.jpg,Eliptical
106972.jpg,Eliptical
222497.jpg,Barred Spiral
220909.jpg,Eliptical
145014.jpg,Barred Spiral
175489.jpg,Spiral
145645.jpg,Eliptical
211812.jpg,Spiral
29880.jpg,Spiral
83429.jpg,Eliptical
119791.jpg,Spiral
86964.jpg,Barred Spiral
194571.jpg,Barred Spiral
7039.jpg,Eliptical
181992.jpg,Barred Spiral
162438.jpg,Eliptical
127996.jpg,Barred Spiral
31874.jpg,Barred Spiral
69303.jpg,Barred Spiral
126359.jpg,Barred Spiral
238451.jpg,Eliptical
109987.jpg,Barred Spiral
159114.jpg,Spiral
18735.jpg,Eliptical
38109.jpg,Eliptical
21390.jpg,Eliptical
221063.jpg,Eliptical
54971.jpg,Barred Spiral
82068.jpg,Eliptical
65818.jpg,Spiral
125419.jpg,Barred Spiral
12456.jpg,Eliptical
135660.jpg,Eliptical
58723.jpg,Eliptical
136520.jpg,Eliptical
54616.jpg,Barred Spiral
66521.jpg,Eliptical
73774.jpg,Barred Spiral
238197.jpg,Barred Spiral
240058.jpg,Eliptical
27178.jpg,Eliptical
237286.jpg,Barred Spiral
32520.jpg,Eliptical
36305.jpg,Barred Spiral
17686.jpg,Eliptical
222384.jpg,Barred Spiral
172123.jpg,Barred Spiral
203832.jpg,Eliptical
11168.jpg,Barred Spiral
107686.jpg,Eliptical
175458.jpg,Barred Spiral
231962.jpg,Eliptical
136494.jpg,Eliptical
4396.jpg,Eliptical
77712.jpg,Eliptical
168322.jpg,Barred Spiral
126166.jpg,Barred Spiral
201626.jpg,Barred Spiral
38539.jpg,Eliptical
204076.jpg,Eliptical
31986.jpg,Barred Spiral
216813.jpg,Barred Spiral
154812.jpg,Eliptical
145648.jpg,Barred Spiral
17612.jpg,Spiral
95080.jpg,Eliptical
211212.jpg,Spiral
226453.jpg,Barred Spiral
62199.jpg,Barred Spiral
23348.jpg,Eliptical
31743.jpg,Spiral
26390.jpg,Barred Spiral
88589.jpg,Eliptical
69470.jpg,Barred Spiral
70270.jpg,Eliptical
43750.jpg,Eliptical
116012.jpg,Eliptical
125476.jpg,Spiral
60044.jpg,Eliptical
17508.jpg,Eliptical
95962.jpg,Eliptical
162605.jpg,Barred Spiral
224442.jpg,Barred Spiral
13721.jpg,Eliptical
16312.jpg,Barred Spiral
59556.jpg,Barred Spiral
46283.jpg,Eliptical
44313.jpg,Spiral
210873.jpg,Eliptical
59581.jpg,Eliptical
119416.jpg,Barred Spiral
49255.jpg,Barred Spiral
220355.jpg,Eliptical
106761.jpg,Barred Spiral
27159.jpg,Eliptical
51180.jpg,Barred Spiral
91104.jpg,Barred Spiral
22635.jpg,Barred Spiral
118750.jpg,Barred Spiral
239298.jpg,Eliptical
220101.jpg,Eliptical
116521.jpg,Barred Spiral
167744.jpg,Barred Spiral
158106.jpg,Eliptical
243665.jpg,Barred Spiral
15119.jpg,Spiral
